"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_LLGMED_PILL_ANALGIN_DESC","<color rgba='222,226,230,255'>ANALGIN (METAMIZOLE) 500 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH FOR MILD TO MODERATE PAIN.<br/><color rgba='150,155,160,255'>NOTE: Short acting. Wears off quickly under stress.</color>","<color rgba='222,226,230,255'>ANALGIN (METAMIZOLE) 500 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH FOR MILD TO MODERATE PAIN.<br/><color rgba='150,155,160,255'>NOTE: Short acting. Wears off quickly under stress.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_NIMESULID_DESC","<color rgba='222,226,230,255'>NIMESULIDE 100 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH FOR PAIN AND SWELLING.<br/><color rgba='240,173,78,255'>CAUTION: Take with food. May irritate the stomach.</color>","<color rgba='222,226,230,255'>NIMESULIDE 100 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH FOR PAIN AND SWELLING.<br/><color rgba='240,173,78,255'>CAUTION: Take with food. May irritate the stomach.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_PARACETAMOL_DESC","<color rgba='222,226,230,255'>PARACETAMOL 500 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH FOR PAIN, FEVER AND EARLY COLD SYMPTOMS.<br/><color rgba='240,173,78,255'>CAUTION: Liver damage occurs above the labelled dose.</color>","<color rgba='222,226,230,255'>PARACETAMOL 500 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH FOR PAIN, FEVER AND EARLY COLD SYMPTOMS.<br/><color rgba='240,173,78,255'>CAUTION: Liver damage occurs above the labelled dose.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_IBUPROFEN_DESC","<color rgba='222,226,230,255'>IBUPROFEN 400 MG · ORAL CAPSULE</color><br/>TAKE 1 CAPSULE BY MOUTH FOR PAIN AND CHEST INFECTION.<br/><color rgba='240,173,78,255'>CAUTION: Take with food. May irritate the stomach.</color>","<color rgba='222,226,230,255'>IBUPROFEN 400 MG · ORAL CAPSULE</color><br/>TAKE 1 CAPSULE BY MOUTH FOR PAIN AND CHEST INFECTION.<br/><color rgba='240,173,78,255'>CAUTION: Take with food. May irritate the stomach.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_NUROFEN_DESC","<color rgba='222,226,230,255'>NUROFEN (IBUPROFEN LYSINE) 512 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH FOR FEVER AND CHEST INFECTION.<br/><color rgba='240,173,78,255'>WARNING: Fast acting and easy to overdose. One tablet per dose.</color>","<color rgba='222,226,230,255'>NUROFEN (IBUPROFEN LYSINE) 512 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH FOR FEVER AND CHEST INFECTION.<br/><color rgba='240,173,78,255'>WARNING: Fast acting and easy to overdose. One tablet per dose.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_AMOXICLAV_DESC","<color rgba='222,226,230,255'>AMOXICILLIN / CLAVULANATE 875 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH FOR RESPIRATORY INFECTION.<br/><color rgba='240,173,78,255'>WARNING: Full-strength antibiotic. Space doses well apart.</color>","<color rgba='222,226,230,255'>AMOXICILLIN / CLAVULANATE 875 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH FOR RESPIRATORY INFECTION.<br/><color rgba='240,173,78,255'>WARNING: Full-strength antibiotic. Space doses well apart.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_PIPERACYLIN_DESC","<color rgba='222,226,230,255'>PIPERACILLIN 500 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH FOR RESPIRATORY INFECTION.<br/><color rgba='240,173,78,255'>CAUTION: Finish the course. Never double a missed dose.</color>","<color rgba='222,226,230,255'>PIPERACILLIN 500 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH FOR RESPIRATORY INFECTION.<br/><color rgba='240,173,78,255'>CAUTION: Finish the course. Never double a missed dose.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_AMIBAKTAM_DESC","<color rgba='222,226,230,255'>AMIBACTAM 250 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH AT THE FIRST SIGN OF A COLD.<br/><color rgba='150,155,160,255'>NOTE: Weak and very short acting. Not for pneumonia.</color>","<color rgba='222,226,230,255'>AMIBACTAM 250 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH AT THE FIRST SIGN OF A COLD.<br/><color rgba='150,155,160,255'>NOTE: Weak and very short acting. Not for pneumonia.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_POLISORB_DESC","<color rgba='222,226,230,255'>POLYSORB (SILICON DIOXIDE) 3 G · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH FOR NAUSEA AND MILD FOOD POISONING.<br/><color rgba='150,155,160,255'>NOTE: Drink plenty of water with each dose.</color>","<color rgba='222,226,230,255'>POLYSORB (SILICON DIOXIDE) 3 G · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH FOR NAUSEA AND MILD FOOD POISONING.<br/><color rgba='150,155,160,255'>NOTE: Drink plenty of water with each dose.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_FTALAZOL_DESC","<color rgba='222,226,230,255'>PHTHALYLSULFATHIAZOLE 500 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH FOR PERSISTENT FOOD POISONING.<br/><color rgba='240,173,78,255'>CAUTION: Long acting. Wait before taking another.</color>","<color rgba='222,226,230,255'>PHTHALYLSULFATHIAZOLE 500 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH FOR PERSISTENT FOOD POISONING.<br/><color rgba='240,173,78,255'>CAUTION: Long acting. Wait before taking another.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_MESALAZIN_DESC","<color rgba='222,226,230,255'>MESALAZINE 800 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH FOR SEVERE FOOD POISONING.<br/><color rgba='240,173,78,255'>CAUTION: Do not combine with other gut medication.</color>","<color rgba='222,226,230,255'>MESALAZINE 800 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH FOR SEVERE FOOD POISONING.<br/><color rgba='240,173,78,255'>CAUTION: Do not combine with other gut medication.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_NOOPEPT_DESC","<color rgba='222,226,230,255'>NOOPEPT 10 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH FOR HEADACHE AND CONCUSSION.<br/><color rgba='240,173,78,255'>CAUTION: May cause irritability and disturbed sleep.</color>","<color rgba='222,226,230,255'>NOOPEPT 10 MG · ORAL TABLET · RX ONLY</color><br/>TAKE 1 TABLET BY MOUTH FOR HEADACHE AND CONCUSSION.<br/><color rgba='240,173,78,255'>CAUTION: May cause irritability and disturbed sleep.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_VIKASOL_DESC","<color rgba='222,226,230,255'>VIKASOL (VITAMIN K3) 15 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH TO SLOW BLOOD LOSS.<br/><color rgba='150,155,160,255'>NOTE: Does not replace a bandage or tourniquet.</color>","<color rgba='222,226,230,255'>VIKASOL (VITAMIN K3) 15 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH TO SLOW BLOOD LOSS.<br/><color rgba='150,155,160,255'>NOTE: Does not replace a bandage or tourniquet.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_IROVIT_DESC","<color rgba='222,226,230,255'>IROVIT (FERROUS SULFATE) 325 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH TO REBUILD LOST BLOOD.<br/><color rgba='240,173,78,255'>CAUTION: May cause nausea. Take with food.</color>","<color rgba='222,226,230,255'>IROVIT (FERROUS SULFATE) 325 MG · ORAL TABLET</color><br/>TAKE 1 TABLET BY MOUTH TO REBUILD LOST BLOOD.<br/><color rgba='240,173,78,255'>CAUTION: May cause nausea. Take with food.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_MAGNESIUMSULFATE_DESC","<color rgba='222,226,230,255'>MAGNESIUM SULFATE 500 MG · ORAL CAPSULE</color><br/>TAKE 1 CAPSULE BY MOUTH TO REBUILD LOST BLOOD.<br/><color rgba='240,173,78,255'>CAUTION: May cause flushing and light-headedness.</color>","<color rgba='222,226,230,255'>MAGNESIUM SULFATE 500 MG · ORAL CAPSULE</color><br/>TAKE 1 CAPSULE BY MOUTH TO REBUILD LOST BLOOD.<br/><color rgba='240,173,78,255'>CAUTION: May cause flushing and light-headedness.</color>","","","","","","","","","","","","",
"STR_LLGMED_PILL_ADEPRESS_DESC","<color rgba='222,226,230,255'>ADEPRESS (PAROXETINE) 20 MG · ORAL CAPSULE · RX ONLY</color><br/>TAKE 1 CAPSULE BY MOUTH TO STEADY MOOD AND NERVES.<br/><color rgba='150,155,160,255'>NOTE: May cause drowsiness. Do not take with alcohol.</color>","<color rgba='222,226,230,255'>ADEPRESS (PAROXETINE) 20 MG · ORAL CAPSULE · RX ONLY</color><br/>TAKE 1 CAPSULE BY MOUTH TO STEADY MOOD AND NERVES.<br/><color rgba='150,155,160,255'>NOTE: May cause drowsiness. Do not take with alcohol.</color>","","","","","","","","","","","","",
